charge_off,mth_code,snapshot,account_status_code,active,bank_fico_buckets_20,ever_delinquent_flg,industry,mob,stmt_balance,prev_balance,balance_decrease,month_diff,industry_A,industry_B,industry_C
0,202001,202001,1,1,12.0,1.0,B,36,1470.17,0.0,-1470.17,0,0,1,0
0,202001,202001,0,1,10.0,0.0,A,162,0.0,0.0,0.0,0,1,0,0
0,202001,202001,1,1,12.0,0.0,B,102,2330.0,0.0,-2330.0,0,0,1,0
0,202001,202001,1,1,12.0,0.0,C,25,0.0,0.0,0.0,0,0,0,1
0,202001,202001,1,1,12.0,0.0,A,8,0.0,3625.25,3625.25,0,1,0,0
0,202001,202001,0,1,12.0,0.0,A,14,301.84,2543.46,2241.62,0,1,0,0
0,202001,202001,1,1,10.0,0.0,A,26,0.0,0.0,0.0,0,1,0,0
0,202001,202001,1,1,12.0,0.0,C,34,1438.86,2154.38,715.5200000000002,0,0,0,1
0,202001,202001,1,1,5.0,0.0,B,88,0.0,1408.02,1408.02,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,140,1100.95,0.0,-1100.95,0,0,1,0
0,202001,202001,1,1,7.0,0.0,A,42,0.0,919.92,919.92,0,1,0,0
0,202001,202001,0,1,12.0,0.0,B,81,1636.8,1305.26,-331.53999999999996,0,0,1,0
0,202001,202001,1,1,9.0,0.0,C,15,502.0,0.0,-502.0,0,0,0,1
0,202001,202001,0,1,5.0,0.0,B,42,3076.24,868.21,-2208.0299999999997,0,0,1,0
0,202001,202001,0,1,10.0,0.0,B,4,540.0,0.0,-540.0,0,0,1,0
0,202001,202001,0,1,11.0,0.0,B,7,0.0,0.0,0.0,0,0,1,0
0,202001,202001,0,1,10.0,0.0,B,53,0.0,866.13,866.13,0,0,1,0
0,202001,202001,0,1,12.0,0.0,B,195,1461.05,-89.92,-1550.97,0,0,1,0
0,202001,202001,0,1,12.0,0.0,C,9,1181.3,0.0,-1181.3,0,0,0,1
0,202001,202001,1,1,12.0,0.0,C,76,583.0,2081.09,1498.0900000000001,0,0,0,1
0,202001,202001,0,1,1.0,0.0,C,58,0.0,638.2,638.2,0,0,0,1
0,202001,202001,1,1,12.0,0.0,B,81,2289.46,0.0,-2289.46,0,0,1,0
0,202001,202001,1,1,7.0,0.0,B,31,0.0,1645.65,1645.65,0,0,1,0
0,202001,202001,0,1,1.0,0.0,A,380,3706.51,0.0,-3706.51,0,1,0,0
0,202001,202001,1,1,12.0,0.0,C,38,5016.74,4185.7,-831.04,0,0,0,1
0,202001,202001,0,1,6.0,0.0,B,31,0.0,127.54,127.54,0,0,1,0
0,202001,202001,1,1,8.0,0.0,C,128,0.0,484.64,484.64,0,0,0,1
0,202001,202001,1,1,5.0,0.0,A,40,0.0,0.0,0.0,0,1,0,0
0,202001,202001,1,1,12.0,0.0,B,70,400.0,1880.19,1480.19,0,0,1,0
0,202001,202001,0,1,12.0,0.0,A,59,456.66,7451.84,6995.18,0,1,0,0
0,202001,202001,0,1,7.0,0.0,B,9,775.76,0.0,-775.76,0,0,1,0
0,202001,202001,1,1,12.0,0.0,A,13,941.85,275.91,-665.94,0,1,0,0
0,202001,202001,0,1,3.0,0.0,B,20,351.8,0.0,-351.8,0,0,1,0
0,202001,202001,0,1,9.0,0.0,B,35,999.5,2387.5,1388.0,0,0,1,0
0,202001,202001,0,1,8.0,0.0,B,104,6964.76,0.0,-6964.76,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,18,2973.42,1186.26,-1787.16,0,0,1,0
0,202001,202001,0,1,12.0,0.0,C,7,268.18,0.0,-268.18,0,0,0,1
0,202001,202001,0,1,6.0,0.0,B,23,0.0,610.51,610.51,0,0,1,0
0,202001,202001,0,1,5.0,0.0,A,30,72.51,0.0,-72.51,0,1,0,0
0,202001,202001,0,1,11.0,1.0,A,8,0.0,0.0,0.0,0,1,0,0
0,202001,202001,1,1,12.0,1.0,B,8,0.0,0.0,0.0,0,0,1,0
0,202001,202001,0,1,10.0,0.0,B,29,145.16,565.77,420.61,0,0,1,0
0,202001,202001,1,1,9.0,0.0,A,24,0.0,0.0,0.0,0,1,0,0
0,202001,202001,1,1,10.0,0.0,B,16,903.63,0.0,-903.63,0,0,1,0
0,202001,202001,1,1,11.0,0.0,B,18,921.28,104.36,-816.92,0,0,1,0
0,202001,202001,0,1,10.0,1.0,A,5,0.0,1161.63,1161.63,0,1,0,0
0,202001,202001,0,1,7.0,0.0,B,10,339.59,2362.97,2023.3799999999999,0,0,1,0
0,202001,202001,1,1,12.0,0.0,A,18,5665.72,0.0,-5665.72,0,1,0,0
0,202001,202001,1,1,12.0,0.0,A,128,0.0,4193.12,4193.12,0,1,0,0
0,202001,202001,0,1,5.0,0.0,A,53,0.0,2627.0,2627.0,0,1,0,0
0,202001,202001,0,1,5.0,0.0,C,27,1120.13,264.41,-855.72,0,0,0,1
0,202001,202001,0,1,8.0,0.0,A,21,28.06,0.0,-28.06,0,1,0,0
0,202001,202001,0,1,11.0,0.0,B,39,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,7.0,0.0,A,131,1486.17,0.0,-1486.17,0,1,0,0
0,202001,202001,1,1,5.0,0.0,B,10,2870.15,0.0,-2870.15,0,0,1,0
0,202001,202001,0,1,8.0,0.0,B,62,0.0,3320.0,3320.0,0,0,1,0
0,202001,202001,0,1,12.0,0.0,B,2,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,4.0,0.0,C,577,1300.0,930.87,-369.13,0,0,0,1
0,202001,202001,0,1,12.0,0.0,B,63,988.86,1491.14,502.2800000000001,0,0,1,0
0,202001,202001,1,1,7.0,0.0,B,72,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,12.0,0.0,C,18,0.0,0.0,0.0,0,0,0,1
0,202001,202001,1,1,12.0,1.0,A,68,379.38,3318.91,2939.5299999999997,0,1,0,0
0,202001,202001,1,1,12.0,1.0,A,57,845.05,1791.41,946.3600000000001,0,1,0,0
0,202001,202001,0,1,12.0,0.0,B,15,577.22,0.0,-577.22,0,0,1,0
0,202001,202001,1,1,12.0,0.0,A,50,999.97,0.0,-999.97,0,1,0,0
0,202001,202001,1,1,12.0,0.0,B,9,0.0,5218.46,5218.46,0,0,1,0
0,202001,202001,1,1,12.0,0.0,C,43,0.0,0.0,0.0,0,0,0,1
0,202001,202001,1,1,12.0,1.0,B,50,0.0,0.0,0.0,0,0,1,0
0,202001,202001,0,1,12.0,0.0,B,3,482.16,1161.16,679.0,0,0,1,0
0,202001,202001,1,1,3.0,0.0,B,27,0.0,0.0,0.0,0,0,1,0
0,202001,202001,0,1,12.0,0.0,B,49,6180.2,0.0,-6180.2,0,0,1,0
0,202001,202001,1,1,12.0,0.0,A,53,0.0,0.0,0.0,0,1,0,0
0,202001,202001,1,1,11.0,0.0,B,5,980.0,0.0,-980.0,0,0,1,0
0,202001,202001,0,1,10.0,0.0,A,13,0.0,98.38,98.38,0,1,0,0
0,202001,202001,1,1,7.0,0.0,B,54,0.0,3452.76,3452.76,0,0,1,0
0,202001,202001,1,1,9.0,0.0,B,54,47.54,0.0,-47.54,0,0,1,0
0,202001,202001,1,1,12.0,0.0,A,152,0.0,1478.62,1478.62,0,1,0,0
0,202001,202001,0,1,8.0,0.0,B,15,47.47,0.0,-47.47,0,0,1,0
0,202001,202001,0,1,5.0,0.0,B,11,0.0,0.0,0.0,0,0,1,0
0,202001,202001,0,1,11.0,0.0,A,13,617.05,0.0,-617.05,0,1,0,0
0,202001,202001,0,1,5.0,0.0,C,455,2997.07,0.0,-2997.07,0,0,0,1
0,202001,202001,1,1,6.0,0.0,B,17,1157.84,1176.0,18.160000000000082,0,0,1,0
0,202001,202001,1,1,6.0,0.0,B,13,0.0,1731.04,1731.04,0,0,1,0
0,202001,202001,0,1,12.0,0.0,C,165,0.0,0.0,0.0,0,0,0,1
0,202001,202001,1,1,11.0,0.0,B,173,555.87,2522.91,1967.04,0,0,1,0
0,202001,202001,0,1,5.0,0.0,B,54,2426.59,1234.7,-1191.89,0,0,1,0
0,202001,202001,0,1,7.0,0.0,B,158,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,10.0,0.0,B,188,2100.94,0.0,-2100.94,0,0,1,0
0,202001,202001,1,1,9.0,0.0,C,46,249.0,985.88,736.88,0,0,0,1
0,202001,202001,1,1,8.0,0.0,A,20,493.71,0.0,-493.71,0,1,0,0
0,202001,202001,0,1,6.0,0.0,C,60,286.21,88.28,-197.92999999999998,0,0,0,1
0,202001,202001,0,1,12.0,0.0,A,36,0.0,0.0,0.0,0,1,0,0
0,202001,202001,0,1,12.0,0.0,B,27,0.0,478.82,478.82,0,0,1,0
0,202001,202001,0,1,9.0,0.0,A,59,0.0,3934.07,3934.07,0,1,0,0
0,202001,202001,0,1,12.0,0.0,B,213,45.0,0.0,-45.0,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,15,1500.0,0.0,-1500.0,0,0,1,0
0,202001,202001,1,1,9.0,0.0,B,29,400.0,719.58,319.58000000000004,0,0,1,0
0,202001,202001,1,1,8.0,0.0,B,43,0.0,0.0,0.0,0,0,1,0
0,202001,202001,0,1,12.0,0.0,B,3,0.0,849.77,849.77,0,0,1,0
0,202001,202001,1,1,12.0,0.0,A,30,0.0,2530.65,2530.65,0,1,0,0
0,202001,202001,0,1,7.0,0.0,B,112,0.0,0.0,0.0,0,0,1,0
0,202001,202001,0,1,8.0,0.0,C,261,2923.07,491.55,-2431.52,0,0,0,1
0,202001,202001,1,1,11.0,0.0,C,127,283.56,2432.84,2149.28,0,0,0,1
0,202001,202001,1,1,6.0,0.0,C,44,0.0,912.73,912.73,0,0,0,1
0,202001,202001,0,1,12.0,0.0,B,4,0.0,0.0,0.0,0,0,1,0
0,202001,202001,0,1,12.0,0.0,B,18,0.0,4316.73,4316.73,0,0,1,0
0,202001,202001,0,1,7.0,0.0,B,17,0.0,1174.33,1174.33,0,0,1,0
0,202001,202001,0,1,6.0,0.0,B,45,6187.53,0.0,-6187.53,0,0,1,0
0,202001,202001,1,1,12.0,0.0,A,94,1261.6,0.0,-1261.6,0,1,0,0
0,202001,202001,1,1,10.0,0.0,B,176,0.0,102.33,102.33,0,0,1,0
0,202001,202001,0,1,11.0,0.0,B,22,5436.93,0.0,-5436.93,0,0,1,0
0,202001,202001,0,1,12.0,0.0,C,34,0.0,0.0,0.0,0,0,0,1
0,202001,202001,1,1,5.0,0.0,B,14,353.12,0.0,-353.12,0,0,1,0
0,202001,202001,1,1,12.0,0.0,A,5,2652.47,0.0,-2652.47,0,1,0,0
0,202001,202001,0,1,1.0,0.0,C,202,1198.42,0.0,-1198.42,0,0,0,1
0,202001,202001,0,1,12.0,0.0,A,85,0.0,1256.38,1256.38,0,1,0,0
0,202001,202001,1,1,11.0,1.0,B,56,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,12.0,0.0,A,147,0.0,0.0,0.0,0,1,0,0
0,202001,202001,1,1,6.0,0.0,B,77,357.75,0.0,-357.75,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,23,1124.01,4787.39,3663.38,0,0,1,0
0,202001,202001,1,1,12.0,0.0,C,26,0.0,1366.95,1366.95,0,0,0,1
0,202001,202001,0,1,8.0,0.0,C,88,5742.42,0.0,-5742.42,0,0,0,1
0,202001,202001,1,1,5.0,0.0,B,21,0.0,165.78,165.78,0,0,1,0
0,202001,202001,1,1,10.0,0.0,A,3,127.45,924.78,797.3299999999999,0,1,0,0
0,202001,202001,0,1,2.0,0.0,B,27,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,12.0,0.0,C,170,0.0,0.0,0.0,0,0,0,1
0,202001,202001,1,1,11.0,0.0,B,8,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,11.0,0.0,C,6,359.85,0.0,-359.85,0,0,0,1
0,202001,202001,1,1,12.0,0.0,B,7,90.37,47.18,-43.190000000000005,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,8,0.0,0.0,0.0,0,0,1,0
0,202001,202001,0,1,10.0,0.0,B,41,0.0,118.84,118.84,0,0,1,0
0,202001,202001,0,1,6.0,0.0,B,22,250.0,1500.0,1250.0,0,0,1,0
0,202001,202001,1,1,7.0,0.0,A,47,309.0,0.0,-309.0,0,1,0,0
0,202001,202001,1,1,12.0,0.0,B,14,350.03,2260.28,1910.2500000000002,0,0,1,0
0,202001,202001,0,1,5.0,0.0,A,401,0.0,0.0,0.0,0,1,0,0
0,202001,202001,1,1,9.0,0.0,B,33,2327.6,0.0,-2327.6,0,0,1,0
0,202001,202001,0,1,4.0,0.0,B,28,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,10.0,0.0,C,9,2220.12,5318.889999999999,3098.7699999999995,0,0,0,1
0,202001,202001,0,1,6.0,0.0,B,91,0.0,2911.93,2911.93,0,0,1,0
0,202001,202001,1,1,12.0,0.0,C,21,0.0,4971.94,4971.94,0,0,0,1
0,202001,202001,1,1,9.0,0.0,C,64,1451.84,0.0,-1451.84,0,0,0,1
0,202001,202001,1,1,10.0,0.0,B,2,383.08,117.77,-265.31,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,18,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,8.0,0.0,C,5,3801.37,458.12,-3343.25,0,0,0,1
0,202001,202001,1,1,11.0,0.0,B,39,1839.0,0.0,-1839.0,0,0,1,0
0,202001,202001,0,1,10.0,0.0,B,29,5486.79,0.0,-5486.79,0,0,1,0
0,202001,202001,0,1,8.0,0.0,C,71,0.0,102.5,102.5,0,0,0,1
0,202001,202001,1,1,12.0,0.0,A,36,0.0,4524.64,4524.64,0,1,0,0
0,202001,202001,1,1,11.0,0.0,B,153,1675.05,0.0,-1675.05,0,0,1,0
0,202001,202001,0,1,7.0,0.0,A,38,4001.0,387.57,-3613.43,0,1,0,0
0,202001,202001,0,1,12.0,0.0,A,12,1686.55,0.0,-1686.55,0,1,0,0
0,202001,202001,1,1,7.0,0.0,B,10,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,19,9318.34,1353.53,-7964.81,0,0,1,0
0,202001,202001,1,1,7.0,0.0,A,13,0.0,0.0,0.0,0,1,0,0
0,202001,202001,0,1,12.0,0.0,A,31,0.0,150.0,150.0,0,1,0,0
0,202001,202001,1,1,8.0,0.0,C,58,0.0,8443.0,8443.0,0,0,0,1
0,202001,202001,1,1,6.0,0.0,C,32,717.99,2895.1,2177.1099999999997,0,0,0,1
0,202001,202001,1,1,12.0,0.0,A,171,0.0,0.0,0.0,0,1,0,0
0,202001,202001,1,1,12.0,0.0,C,16,0.0,598.0,598.0,0,0,0,1
0,202001,202001,0,1,11.0,0.0,C,46,2629.0,495.78,-2133.2200000000003,0,0,0,1
0,202001,202001,1,1,11.0,0.0,B,18,3658.95,0.0,-3658.95,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,21,1693.56,0.0,-1693.56,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,22,518.92,216.44,-302.47999999999996,0,0,1,0
0,202001,202001,1,1,11.0,0.0,B,119,323.14,2119.89,1796.75,0,0,1,0
0,202001,202001,1,1,12.0,0.0,A,54,0.0,0.0,0.0,0,1,0,0
0,202001,202001,1,1,12.0,0.0,B,96,5266.58,954.35,-4312.23,0,0,1,0
0,202001,202001,1,1,10.0,0.0,B,7,336.4,570.0,233.60000000000002,0,0,1,0
0,202001,202001,0,1,10.0,0.0,A,37,1947.58,67.49,-1880.09,0,1,0,0
0,202001,202001,0,1,12.0,0.0,A,114,0.0,0.0,0.0,0,1,0,0
0,202001,202001,0,1,12.0,0.0,C,8,0.0,2651.65,2651.65,0,0,0,1
0,202001,202001,1,1,8.0,0.0,B,8,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,5.0,0.0,B,80,0.0,1550.34,1550.34,0,0,1,0
0,202001,202001,0,1,12.0,0.0,B,40,2375.37,0.0,-2375.37,0,0,1,0
0,202001,202001,0,1,9.0,0.0,B,95,907.11,249.01,-658.1,0,0,1,0
0,202001,202001,1,1,6.0,0.0,A,97,0.0,0.0,0.0,0,1,0,0
0,202001,202001,1,1,12.0,0.0,C,81,29.15,7083.97,7054.820000000001,0,0,0,1
0,202001,202001,1,1,12.0,0.0,B,41,0.0,2182.08,2182.08,0,0,1,0
0,202001,202001,1,1,12.0,0.0,C,80,1965.14,41.6,-1923.5400000000002,0,0,0,1
0,202001,202001,1,1,6.0,0.0,C,34,86.7,0.0,-86.7,0,0,0,1
0,202001,202001,1,1,11.0,1.0,C,265,0.0,2145.82,2145.82,0,0,0,1
0,202001,202001,1,1,10.0,0.0,A,229,192.0,0.0,-192.0,0,1,0,0
0,202001,202001,1,1,9.0,0.0,B,42,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,12.0,0.0,A,35,73.41,0.0,-73.41,0,1,0,0
0,202001,202001,1,1,12.0,0.0,A,77,0.0,0.0,0.0,0,1,0,0
0,202001,202001,1,1,8.0,0.0,A,179,787.76,604.55,-183.21000000000004,0,1,0,0
0,202001,202001,0,1,11.0,0.0,B,13,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,12.0,0.0,A,36,0.0,424.43,424.43,0,1,0,0
0,202001,202001,0,1,12.0,0.0,B,114,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,12.0,0.0,C,8,3765.59,0.0,-3765.59,0,0,0,1
0,202001,202001,0,1,2.0,0.0,B,33,817.6,0.0,-817.6,0,0,1,0
0,202001,202001,1,1,12.0,0.0,C,31,128.8,227.97,99.16999999999999,0,0,0,1
0,202001,202001,0,1,12.0,0.0,B,16,343.8,391.9,48.099999999999966,0,0,1,0
0,202001,202001,1,1,4.0,0.0,A,15,1047.53,1631.0,583.47,0,1,0,0
0,202001,202001,0,1,12.0,0.0,B,3,0.0,1128.64,1128.64,0,0,1,0
0,202001,202001,0,1,9.0,0.0,B,16,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,11.0,0.0,B,5,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,8.0,1.0,C,81,0.0,0.0,0.0,0,0,0,1
0,202001,202001,0,1,6.0,0.0,B,60,832.86,6716.85,5883.990000000001,0,0,1,0
0,202001,202001,1,1,9.0,0.0,C,38,1532.72,1373.55,-159.17000000000007,0,0,0,1
0,202001,202001,1,1,12.0,1.0,A,16,0.0,229.01,229.01,0,1,0,0
0,202001,202001,1,1,4.0,0.0,B,65,0.0,24.38,24.38,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,46,0.0,575.7,575.7,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,22,0.0,7281.69,7281.69,0,0,1,0
0,202001,202001,1,1,12.0,0.0,C,22,0.0,4680.53,4680.53,0,0,0,1
0,202001,202001,0,1,5.0,0.0,B,29,1054.39,1360.0,305.6099999999999,0,0,1,0
0,202001,202001,0,1,8.0,0.0,B,49,0.0,0.0,0.0,0,0,1,0
0,202001,202001,0,1,5.0,0.0,B,7,0.0,40.42,40.42,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,63,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,9.0,0.0,A,46,433.4,0.0,-433.4,0,1,0,0
0,202001,202001,0,1,12.0,1.0,B,31,0.0,0.0,0.0,0,0,1,0
0,202001,202001,0,1,9.0,0.0,B,38,0.0,0.0,0.0,0,0,1,0
0,202001,202001,0,1,8.0,0.0,B,14,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,15,0.0,1033.0,1033.0,0,0,1,0
0,202001,202001,0,1,11.0,0.0,C,10,200.0,0.0,-200.0,0,0,0,1
0,202001,202001,0,1,12.0,0.0,B,7,0.0,0.0,0.0,0,0,1,0
0,202001,202001,0,1,10.0,0.0,A,43,1179.66,0.0,-1179.66,0,1,0,0
0,202001,202001,1,1,11.0,0.0,C,17,0.0,-182.53,-182.53,0,0,0,1
0,202001,202001,1,1,12.0,0.0,B,36,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,7.0,0.0,B,164,734.8,291.86,-442.93999999999994,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,96,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,6.0,0.0,C,4,1658.72,151.11,-1507.6100000000001,0,0,0,1
0,202001,202001,1,1,10.0,0.0,C,95,261.45,0.0,-261.45,0,0,0,1
0,202001,202001,1,1,12.0,0.0,A,44,1143.64,0.0,-1143.64,0,1,0,0
0,202001,202001,0,1,9.0,0.0,B,7,0.0,0.0,0.0,0,0,1,0
0,202001,202001,0,1,12.0,0.0,C,138,3293.33,0.0,-3293.33,0,0,0,1
0,202001,202001,1,1,9.0,1.0,B,14,2201.82,0.0,-2201.82,0,0,1,0
0,202001,202001,1,1,3.0,0.0,B,91,0.0,2850.38,2850.38,0,0,1,0
0,202001,202001,0,1,12.0,0.0,A,16,0.0,78.4,78.4,0,1,0,0
0,202001,202001,1,1,12.0,0.0,C,19,510.57,0.0,-510.57,0,0,0,1
0,202001,202001,0,1,2.0,0.0,C,33,0.0,0.0,0.0,0,0,0,1
0,202001,202001,0,1,10.0,0.0,B,46,0.0,0.0,0.0,0,0,1,0
0,202001,202001,0,1,11.0,0.0,C,36,1724.12,4930.96,3206.84,0,0,0,1
0,202001,202001,0,1,9.0,0.0,B,243,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,6.0,0.0,B,8,437.8,0.0,-437.8,0,0,1,0
0,202001,202001,1,1,10.0,0.0,C,141,208.94,2315.61,2106.67,0,0,0,1
0,202001,202001,1,1,12.0,0.0,B,10,1410.64,0.0,-1410.64,0,0,1,0
0,202001,202001,1,1,12.0,0.0,C,27,398.0,0.0,-398.0,0,0,0,1
0,202001,202001,0,1,10.0,0.0,A,49,0.0,0.0,0.0,0,1,0,0
0,202001,202001,0,1,12.0,0.0,B,58,2959.64,0.0,-2959.64,0,0,1,0
0,202001,202001,0,1,8.0,0.0,B,5,1898.16,3487.1,1588.9399999999998,0,0,1,0
0,202001,202001,0,1,4.0,0.0,B,98,0.0,851.91,851.91,0,0,1,0
0,202001,202001,0,1,10.0,0.0,A,131,0.0,9844.54,9844.54,0,1,0,0
0,202001,202001,1,1,6.0,0.0,B,12,180.6,1615.81,1435.21,0,0,1,0
0,202001,202001,1,1,10.0,0.0,A,29,4324.67,152.95,-4171.72,0,1,0,0
0,202001,202001,1,1,7.0,0.0,B,28,0.0,1403.92,1403.92,0,0,1,0
0,202001,202001,1,1,11.0,0.0,C,375,0.0,0.0,0.0,0,0,0,1
0,202001,202001,1,1,4.0,0.0,B,81,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,10,313.35,0.0,-313.35,0,0,1,0
0,202001,202001,1,1,12.0,0.0,C,8,0.0,0.0,0.0,0,0,0,1
0,202001,202001,1,1,12.0,0.0,A,236,60.97,349.0,288.03,0,1,0,0
0,202001,202001,0,1,12.0,0.0,C,8,3070.1,5201.95,2131.85,0,0,0,1
0,202001,202001,0,1,12.0,0.0,C,8,0.0,0.0,0.0,0,0,0,1
0,202001,202001,1,1,12.0,0.0,B,98,88.3,0.0,-88.3,0,0,1,0
0,202001,202001,1,1,8.0,0.0,B,56,0.0,784.68,784.68,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,40,108.45,0.0,-108.45,0,0,1,0
0,202001,202001,0,1,12.0,0.0,C,16,0.0,0.0,0.0,0,0,0,1
0,202001,202001,0,1,6.0,0.0,C,15,1589.39,0.0,-1589.39,0,0,0,1
0,202001,202001,1,1,12.0,0.0,C,23,0.0,0.0,0.0,0,0,0,1
0,202001,202001,1,1,2.0,0.0,B,15,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,153,147.64,1909.22,1761.58,0,0,1,0
0,202001,202001,1,1,8.0,0.0,B,43,566.61,0.0,-566.61,0,0,1,0
0,202001,202001,1,1,7.0,0.0,B,35,0.0,1068.3,1068.3,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,16,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,3,1409.92,0.0,-1409.92,0,0,1,0
0,202001,202001,0,1,8.0,0.0,C,45,0.0,0.0,0.0,0,0,0,1
0,202001,202001,1,1,12.0,0.0,B,257,1109.65,0.0,-1109.65,0,0,1,0
0,202001,202001,1,1,9.0,0.0,B,61,0.0,1887.7,1887.7,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,6,1613.0,0.0,-1613.0,0,0,1,0
0,202001,202001,1,1,9.0,0.0,B,30,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,526,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,10.0,1.0,B,7,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,10.0,0.0,B,4,81.5,0.0,-81.5,0,0,1,0
0,202001,202001,0,1,11.0,0.0,A,202,1191.99,0.0,-1191.99,0,1,0,0
0,202001,202001,1,1,12.0,1.0,B,91,3795.51,3041.49,-754.0200000000004,0,0,1,0
0,202001,202001,1,1,10.0,0.0,A,21,1846.43,800.75,-1045.68,0,1,0,0
